,"Id","Label","name_cluster","nom_cluster","cluster.y","nom_cluster.1","nom_cluster.2","nom_cluster.3"
"15",15,"agriculture biologique","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"61",61,"bordelais","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"405",405,"sulfites","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"420",420,"traitements phytosanitaires","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"442",442,"vignerons","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"443",443,"vignes","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"445",445,"vins","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"446",446,"vins de bordeaux","Luttes contre les nuisibles","Viticulture et pesticides",15,"Viticulture et pesticides","Viticulture et pesticides","Le vin"
"1",1,"@genefutures","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"24",24,"alternatives","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"25",25,"alternatives aux pesticides","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"114",114,"coquelicots","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"146",146,"ecophyto","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"190",190,"générations futures","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"306",306,"pesticides","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"315",315,"plan ecophyto","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"437",437,"ventes de pesticides","Expositions des riverains","Ecophyto et alternatives aux pesticides",2,"Plan écophyto","Régulation des pesticides","Plan écophyto"
"41",41,"assemblée","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"42",42,"assemblée nationale","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"66",66,"campagne","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"82",82,"citoyens","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"85",85,"climat","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"111",111,"convention citoyenne","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"123",123,"débat","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"127",127,"démocratie participative","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"128",128,"député","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
"141",141,"écolo","Développement durable","Environnement et débats publiques",6,"Environnement et débats publiques","Politiques environnementales et agricoles","Transition écologique et débats publics"
