	origin	yearmonth	segm	doc_id	top10_term_chi2_True	top10_source_chi2_True
0	facebook	2011-11	0.0	4	céréalier charentais, monde selon monsanto, jeune femme, paul françois, monsanto, lasso, procès, pesticides, céréaliers, parasite	ZÉRO CHLORDECONE ZÉRO POISON, Vigilance Responsabilité Santé, Apiculture France aide et conseils pour apiculteur amateur miel et abeilles, Basta, média indépendant, Vivons bien, vivons belge, DIVERS NEWS, M.E.I Ile de France, FORUM DES AGRONOMES, Association VIDA - Voir Informer Dénoncer Agir, Chlordecone Poison Affaire de Santé Publique
1	facebook	2011-12	0.0	23	céréalier charentais, monde selon monsanto, jeune femme, paul françois, monsanto, lasso, procès, pesticides, céréaliers, parasite	ZÉRO CHLORDECONE ZÉRO POISON, Vigilance Responsabilité Santé, Apiculture France aide et conseils pour apiculteur amateur miel et abeilles, Basta, média indépendant, Vivons bien, vivons belge, DIVERS NEWS, M.E.I Ile de France, FORUM DES AGRONOMES, Association VIDA - Voir Informer Dénoncer Agir, Chlordecone Poison Affaire de Santé Publique
2	facebook	2012-02	0.0	5	céréalier charentais, monde selon monsanto, jeune femme, paul françois, monsanto, lasso, procès, pesticides, céréaliers, parasite	ZÉRO CHLORDECONE ZÉRO POISON, Vigilance Responsabilité Santé, Apiculture France aide et conseils pour apiculteur amateur miel et abeilles, Basta, média indépendant, Vivons bien, vivons belge, DIVERS NEWS, M.E.I Ile de France, FORUM DES AGRONOMES, Association VIDA - Voir Informer Dénoncer Agir, Chlordecone Poison Affaire de Santé Publique
3	facebook	2012-04	0.0	4	céréalier charentais, monde selon monsanto, jeune femme, paul françois, monsanto, lasso, procès, pesticides, céréaliers, parasite	ZÉRO CHLORDECONE ZÉRO POISON, Vigilance Responsabilité Santé, Apiculture France aide et conseils pour apiculteur amateur miel et abeilles, Basta, média indépendant, Vivons bien, vivons belge, DIVERS NEWS, M.E.I Ile de France, FORUM DES AGRONOMES, Association VIDA - Voir Informer Dénoncer Agir, Chlordecone Poison Affaire de Santé Publique
4	facebook	2012-08	0.0	13	céréalier charentais, monde selon monsanto, jeune femme, paul françois, monsanto, lasso, procès, pesticides, céréaliers, parasite	ZÉRO CHLORDECONE ZÉRO POISON, Vigilance Responsabilité Santé, Apiculture France aide et conseils pour apiculteur amateur miel et abeilles, Basta, média indépendant, Vivons bien, vivons belge, DIVERS NEWS, M.E.I Ile de France, FORUM DES AGRONOMES, Association VIDA - Voir Informer Dénoncer Agir, Chlordecone Poison Affaire de Santé Publique
5	facebook	2012-10	1.0	6	santé des français, semences transgéniques, confédération paysanne, agriculteur, ogm, lasso, paysan, monsanto, vérité, syndrome	Basta, média indépendant, Apiculture France aide et conseils pour apiculteur amateur miel et abeilles, DIVERS NEWS, Vigilance Responsabilité Santé, Nature & Progrès Belgique, Guillaume Bodin, Inf'OGM, Bio à la Une, Criigen, ASSAUPAMAR
6	facebook	2012-11	1.0	56	santé des français, semences transgéniques, confédération paysanne, agriculteur, ogm, lasso, paysan, monsanto, vérité, syndrome	Basta, média indépendant, Apiculture France aide et conseils pour apiculteur amateur miel et abeilles, DIVERS NEWS, Vigilance Responsabilité Santé, Nature & Progrès Belgique, Guillaume Bodin, Inf'OGM, Bio à la Une, Criigen, ASSAUPAMAR
7	facebook	2012-12	1.0	4	santé des français, semences transgéniques, confédération paysanne, agriculteur, ogm, lasso, paysan, monsanto, vérité, syndrome	Basta, média indépendant, Apiculture France aide et conseils pour apiculteur amateur miel et abeilles, DIVERS NEWS, Vigilance Responsabilité Santé, Nature & Progrès Belgique, Guillaume Bodin, Inf'OGM, Bio à la Une, Criigen, ASSAUPAMAR
8	facebook	2013-03	1.0	9	santé des français, semences transgéniques, confédération paysanne, agriculteur, ogm, lasso, paysan, monsanto, vérité, syndrome	Basta, média indépendant, Apiculture France aide et conseils pour apiculteur amateur miel et abeilles, DIVERS NEWS, Vigilance Responsabilité Santé, Nature & Progrès Belgique, Guillaume Bodin, Inf'OGM, Bio à la Une, Criigen, ASSAUPAMAR
9	facebook	2013-04	1.0	12	santé des français, semences transgéniques, confédération paysanne, agriculteur, ogm, lasso, paysan, monsanto, vérité, syndrome	Basta, média indépendant, Apiculture France aide et conseils pour apiculteur amateur miel et abeilles, DIVERS NEWS, Vigilance Responsabilité Santé, Nature & Progrès Belgique, Guillaume Bodin, Inf'OGM, Bio à la Une, Criigen, ASSAUPAMAR
10	facebook	2013-05	1.0	17	santé des français, semences transgéniques, confédération paysanne, agriculteur, ogm, lasso, paysan, monsanto, vérité, syndrome	Basta, média indépendant, Apiculture France aide et conseils pour apiculteur amateur miel et abeilles, DIVERS NEWS, Vigilance Responsabilité Santé, Nature & Progrès Belgique, Guillaume Bodin, Inf'OGM, Bio à la Une, Criigen, ASSAUPAMAR
11	facebook	2013-06	1.0	40	santé des français, semences transgéniques, confédération paysanne, agriculteur, ogm, lasso, paysan, monsanto, vérité, syndrome	Basta, média indépendant, Apiculture France aide et conseils pour apiculteur amateur miel et abeilles, DIVERS NEWS, Vigilance Responsabilité Santé, Nature & Progrès Belgique, Guillaume Bodin, Inf'OGM, Bio à la Une, Criigen, ASSAUPAMAR
