	@genefutures	abeilles	agriculteur	alimentation	aliments	alternatives	animal	cancers	cancérogène	centre international	chercheuse	citoyens	commission	consommateurs	coopérative agricole	culture	désherbant	développement	eau	effet	europe	glyphosate	greenpeace	génération	herbicide	insectes	jardinerie	lasso	loi	maladie	monde	monsanto	nature	néonicotinoïdes	ogm	paris	paysan	pesticides	plantes	politique	population	pratiques	problème	production	produits chimiques	recherche	roundup	roundup de monsanto	régions	santé	scientifiques	substances	syngenta	systèmes	terre de diatomée	traitements	travail	triskalia	vignerons	écologique	études
@genefutures	1.0	0.0018164652439484773	0.016525477136431693	0.004818843439033118	0.0036249019024196427	0.02009994420263235	0.0	0.016126635136514963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003534385417271179	0.0	0.0	0.0	0.0	0.0	0.004612067303171637	0.0	0.022156669801466463	0.0	0.0	0.0	0.0	0.0	0.008829489036753563	0.0	0.003772442050170843	0.0	0.0	0.0	0.003744609302417619	0.0	0.031697057582814894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040515060170535685	0.0	0.0	0.005978800882269977	0.0	0.007461440050649733	0.0	0.008020043072558944	0.0	0.0	0.0	0.010371747670562773	0.0	0.0	0.003018408052601833
abeilles	0.0018164652439484773	1.0	0.037822623121071694	0.03970479472207684	0.02931423103381955	0.008587351931615441	0.013771353431029067	0.026481298893495268	0.0016817200333857562	0.01275153426126674	0.061127578670318705	0.04315406136715142	0.09916387680795205	0.021792953319418586	0.0020151872545090595	0.08394907420794713	0.0022904796111090442	0.053115086671153444	0.01263944680229592	0.08516958971286134	0.10921741762004716	0.009969415351165335	0.03940062612820495	0.04535816683423948	0.016269095773746068	0.24932399350841067	0.0010371405532879564	0.0	0.047543536624214365	0.11466429638653378	0.12287693958330458	0.03831009850731561	0.09087712183983439	0.39389014820784013	0.01629634979015999	0.03713866146904237	0.005183794573407726	0.23303978722783375	0.12979838854509448	0.0573814488595235	0.11104534231952902	0.034095117417363416	0.03887934509072339	0.09142817658509153	0.06018812654924894	0.0911680600882403	0.007521327102669709	0.006341193268108834	0.07282370128266845	0.06112167836962644	0.16499382801668303	0.08140199980999335	0.1193022722645173	0.07138383453173805	0.0	0.032354976093114385	0.031904789550634846	0.0	0.002225327484339217	0.0509517079285898	0.1668755149155109
agriculteur	0.016525477136431693	0.037822623121071694	1.0	0.06614904939761927	0.04025497291888366	0.03596198249489238	0.034038968443180634	0.04885839570994318	0.02039949185498701	0.033396351439759595	0.01608595251613999	0.07401931718996999	0.06216468075062111	0.1765029674817789	0.06416679787205942	0.16326816724057944	0.041675742017026	0.21220237579435655	0.08129574027078026	0.07972980982562522	0.07662852608451574	0.04588240088768878	0.07664444355264793	0.06834791417507216	0.10258399476752422	0.02395820002423697	0.006814521691095425	0.23363501711181126	0.07895428236449892	0.10032227564774236	0.13673706074251762	0.1360566526707149	0.06796052362440197	0.0418938356380679	0.0793045119689072	0.0516916424208005	0.16683518497835728	0.20398225230469616	0.04744672248538012	0.11682441210849036	0.0940598887084194	0.15759337985508934	0.12954766480751237	0.12924151746529394	0.060723842519041255	0.055080829928801846	0.031088542194579127	0.014139620126276942	0.0887235755116034	0.11649916951662681	0.024726567805351714	0.03884071494298837	0.035092618076469184	0.11194792912616779	0.0	0.03163000319013402	0.1297619819701429	0.009598292423704536	0.01012257145740463	0.056427461362967224	0.034916443283185106
alimentation	0.004818843439033118	0.03970479472207684	0.06614904939761927	1.0	0.20053074292556375	0.037426118312572	0.09508742553457515	0.07211648536694414	0.040896002707211276	0.08303271623856086	0.03685532462276562	0.25072087041359886	0.05625705948403926	0.2411260136379766	0.00267301340121033	0.08679328829314477	0.004861072980285447	0.0613911650161309	0.03515324796105949	0.08300975883421337	0.04841404651048439	0.028936729004076713	0.030082712837029606	0.026905919771712215	0.02894862743305856	0.04627244483735195	0.008254192532255141	0.0	0.07140509183796805	0.07505454025526269	0.14654945942590247	0.21055906909001648	0.05336640041376586	0.04201208054285709	0.29269281944170783	0.09902923659621217	0.0829551627071156	0.20494916154089837	0.08002456295136355	0.09505156491208593	0.04019973614612879	0.12181554160261192	0.0719445820175319	0.08541156009856464	0.0761508730343998	0.10880450693582602	0.05958594537124645	0.05145660585865677	0.05355138452551254	0.19334038253655952	0.03868107754649957	0.03473302404506278	0.08186430248527302	0.1217390956140357	0.0	0.02654062081682457	0.04530687198956866	0.009796046329865301	0.0	0.17359835052144734	0.12991804652828462
aliments	0.0036249019024196427	0.02931423103381955	0.04025497291888366	0.20053074292556375	1.0	0.007344320858647993	0.1167036995538197	0.14684516560958336	0.0783068309558237	0.09484682102999382	0.041333753508687295	0.010910800076529857	0.042318519895542826	0.11561865034703472	0.0	0.05380956177639237	0.03839501856165651	0.033865753479597166	0.03783454286709758	0.11601804343495943	0.07619919377790489	0.1235816110736911	0.01802670226632645	0.03373261689614025	0.034445935308478844	0.047092831386286275	0.0013797980362189304	0.0	0.01807179729773814	0.11948918466509308	0.08287703266343549	0.04352211487186612	0.029579837696223105	0.022861708874351506	0.08657530096082282	0.019763513055325213	0.02636224220153714	0.1734728845377846	0.04695886151257682	0.01881607850279425	0.02362472024480672	0.04279906422515195	0.10584378587183599	0.07207481668555751	0.1473660103906505	0.10710204428654992	0.07525266201615201	0.06773804004025177	0.02039656553811303	0.22351640448688304	0.12174903652071851	0.08368338159720369	0.017044790927791396	0.10907765395580632	0.0	0.03865521144666696	0.04494251525963395	0.0157905585022246	0.0	0.022927440561240266	0.18442879620136754
alternatives	0.02009994420263235	0.008587351931615441	0.03596198249489238	0.037426118312572	0.007344320858647993	1.0	0.033399618490861795	0.012706463083670325	0.00992476391845539	0.017958313628606146	0.006708120081522402	0.03932498343987185	0.012514911745271303	0.048229620378391284	0.02229888598663266	0.039782931819538965	0.039031470215166744	0.029265089540866897	0.026167493524687103	0.02827310910615189	0.027960991732574568	0.03192667055385304	0.049340665911569784	0.08167679142147964	0.04873829105524653	0.015894746134006477	0.027543340875901448	0.0	0.01948477878948844	0.02352098714061887	0.03501333465662103	0.01896657879565331	0.025383905754347375	0.007084055706321008	0.036065179070179455	0.0400417450368822	0.031085877402914828	0.24270503077633412	0.03628771273886446	0.04709954943847709	0.012575825460826598	0.038944688474280065	0.022307503591601507	0.030601935105594304	0.030738769816765283	0.031638850942558215	0.0437794801271687	0.015684599167289634	0.01809570974454226	0.047108037139852114	0.025050650858511426	0.016377218532876586	0.000609759498222032	0.023922438869953624	0.0009522557206342072	0.03344672496734569	0.01287556844029806	0.0	0.016005713828508718	0.11110213158569648	0.012910540555621939
animal	0.0	0.013771353431029067	0.034038968443180634	0.09508742553457515	0.1167036995538197	0.033399618490861795	1.0	0.02560095519100079	0.00801257358080264	0.010651819989340136	0.025273154658773472	0.02272719323724265	0.024331314055522663	0.08520075364629053	0.0	0.09470224712873272	0.01590182226368597	0.03465238451262017	0.0420435421840398	0.15084855934161936	0.05045062168304955	0.032571009601595396	0.0015698234106657802	0.02876346286931104	0.039702438969861975	0.07207054251110513	0.0	0.0	0.043146990997935716	0.03606807763806603	0.0907247797141015	0.02925337728604663	0.0569306273714143	0.009632304225336315	0.11174460353648791	0.023722640007950175	0.024925879819429224	0.09286601486067637	0.07360792578298907	0.06381039651769223	0.09669389348379112	0.05109206373938888	0.07595863856836486	0.05352067731569155	0.1139189747571165	0.09714729178933991	0.05680373966167305	0.006854978952809593	0.019305060192302	0.1005902241909829	0.0854018520046347	0.10926182197517473	0.005063430767857572	0.0707982133472686	0.019329475242709535	0.08519127427803111	0.04636965673946644	0.011848716250366669	0.0017039888445531982	0.04334999506677111	0.13166001881626566
cancers	0.016126635136514963	0.026481298893495268	0.04885839570994318	0.07211648536694414	0.14684516560958336	0.012706463083670325	0.02560095519100079	1.0	0.13899456937794763	0.3352148360996965	0.10475824341715963	0.043092062102610934	0.07274597562052833	0.067077047817073	0.014057132060207549	0.044002258411348985	0.05345186721631313	0.08245965159869138	0.03050963498490584	0.16555201385109325	0.07620346219888711	0.19695063129849688	0.010725574564937166	0.034659315383663465	0.0875684041128379	0.019519454999873287	0.017100137240282528	0.0027048491329528888	0.02552338637735177	0.2069400579599549	0.16386989563228624	0.1095062337301532	0.010966348487157355	0.003418764786530103	0.05655907177690181	0.029710870390853288	0.010604122127702138	0.18805560573414454	0.024764739859827883	0.04578416862064883	0.06035902134976874	0.0285958483524358	0.11262227032794891	0.06700927592528168	0.11655921445543288	0.23482202635988275	0.12832218084638078	0.07048991138069342	0.03402795227212932	0.25171510302457134	0.163514830369593	0.09265249939315225	0.0034944549560218426	0.1001063027095664	0.0	0.1298557543130926	0.07640655573833534	0.002676182246578639	0.016581370765295932	0.04846616286871601	0.1853611224810878
cancérogène	0.0	0.0016817200333857562	0.02039949185498701	0.040896002707211276	0.0783068309558237	0.00992476391845539	0.00801257358080264	0.13899456937794763	1.0	0.29366112847926545	0.03218558065671558	0.04739250003245872	0.05637026329078356	0.05966562398740046	0.0	0.03272205059652664	0.25988921860267944	0.016715951080408614	0.019172921830297836	0.019660067234399402	0.05621813949917218	0.3366139668164977	0.004081666652925073	0.01623952977825846	0.10834585457961043	0.001867666298901364	0.049295179243955496	0.0	0.011447513656357726	0.004541399122748807	0.08719693072205659	0.12631579675579174	0.006424196434475571	0.006133411296301343	0.0638046338415868	0.019067590068854327	0.014204774743178484	0.04620672154368717	0.018986756449986687	0.014711421624805971	0.004309917785941772	0.01418109144596405	0.010921578614562414	0.006887462515976634	0.02809232600837724	0.14078245480239732	0.25256502413246784	0.23198834170985383	0.003876038869187091	0.12331405032037265	0.08265094486219815	0.07829011328424731	0.007523043265026978	0.014850234155233401	0.0	0.008395200612655317	0.015373082505471853	0.0	0.0	0.01439701346467359	0.053561304517937086
centre international	0.0	0.01275153426126674	0.033396351439759595	0.08303271623856086	0.09484682102999382	0.017958313628606146	0.010651819989340136	0.3352148360996965	0.29366112847926545	1.0	0.02218591822199581	0.05267752981680758	0.034210806619905776	0.11004586199907437	0.012642790824820274	0.05526149826275489	0.12645518673927633	0.01935781934200874	0.029416551410939587	0.04530215642726857	0.05460489056709356	0.31787915959704477	0.01326384665731404	0.05302472412302034	0.1207393525163945	0.0012874054445482736	0.06940549955315489	0.0	0.018938190082121064	0.007513061998194586	0.13068902128962756	0.142042155198635	0.005535347422245961	0.010569590377516964	0.1195094562818262	0.02748191655594446	0.029374579956345154	0.08384141025302416	0.019631708546438666	0.0219716566429719	0.0163398375531134	0.024150497731793105	0.004517027408928647	0.0	0.03340356799471376	0.40728688572761557	0.25080193734182876	0.19189491465237202	0.0032061617515340072	0.14371891938905984	0.13721501697605024	0.0666643047362602	0.013828604342099983	0.0191933433673788	0.0	0.0066772101446551674	0.036500280471169766	0.0	0.0	0.040740792410393384	0.0953511234055152
